in factory
in factory1
out factory
-100 0 -100
-100 0 -96.3636
-100 0 -92.7273
-100 0 -89.0909
-100 0 -85.4545
-100 0 -81.8182
-100 0 -78.1818
-100 0 -74.5455
-100 0 -70.9091
-100 0 -67.2727
-100 0 -63.6364
-100 0 -60
-100 0 -56.3636
-100 0 -52.7273
-100 0 -49.0909
-100 0 -45.4545
-100 0 -41.8182
-100 0 -38.1818
-100 0 -34.5455
-100 0 -30.9091
-100 0 -27.2727
-100 0 -23.6364
-100 0 -20
-100 0 -16.3636
-100 0 -12.7273
-100 0 -9.0909
-100 0 -5.45454
-100 0 -1.81818
-100 0 1.81818
-100 0 5.45455
-100 0 9.09091
-100 0 12.7273
-100 0 16.3636
-100 0 20
-100 0 23.6364
-100 0 27.2727
-100 0 30.9091
-100 0 34.5455
-100 0 38.1818
-100 0 41.8182
-100 0 45.4545
-100 0 49.0909
-100 0 52.7273
-100 0 56.3636
-100 0 60
-100 0 63.6364
-100 0 67.2727
-100 0 70.9091
-100 0 74.5455
-100 0 78.1818
-100 0 81.8182
-100 0 85.4545
-100 0 89.0909
-100 0 92.7273
-100 0 96.3636
-96.3636 0 -100
-96.3636 0 -96.3636
-96.3636 0 -92.7273
-96.3636 0 -89.0909
-96.3636 0 -85.4545
-96.3636 0 -81.8182
-96.3636 0 -78.1818
-96.3636 0 -74.5455
-96.3636 0 -70.9091
-96.3636 0 -67.2727
-96.3636 0 -63.6364
-96.3636 0 -60
-96.3636 0 -56.3636
-96.3636 0 -52.7273
-96.3636 0 -49.0909
-96.3636 0 -45.4545
-96.3636 0 -41.8182
-96.3636 0 -38.1818
-96.3636 0 -34.5455
-96.3636 0 -30.9091
-96.3636 0 -27.2727
-96.3636 0 -23.6364
-96.3636 0 -20
-96.3636 0 -16.3636
-96.3636 0 -12.7273
-96.3636 0 -9.0909
-96.3636 0 -5.45454
-96.3636 0 -1.81818
-96.3636 0 1.81818
-96.3636 0 5.45455
-96.3636 0 9.09091
-96.3636 0 12.7273
-96.3636 0 16.3636
-96.3636 0 20
-96.3636 0 23.6364
-96.3636 0 27.2727
-96.3636 0 30.9091
-96.3636 0 34.5455
-96.3636 0 38.1818
-96.3636 0 41.8182
-96.3636 0 45.4545
-96.3636 0 49.0909
-96.3636 0 52.7273
-96.3636 0 56.3636
-96.3636 0 60
-96.3636 0 63.6364
-96.3636 0 67.2727
-96.3636 0 70.9091
-96.3636 0 74.5455
-96.3636 0 78.1818
-96.3636 0 81.8182
-96.3636 0 85.4545
-96.3636 0 89.0909
-96.3636 0 92.7273
-96.3636 0 96.3636
-92.7273 0 -100
-92.7273 0 -96.3636
-92.7273 0 -92.7273
-92.7273 0 -89.0909
-92.7273 0 -85.4545
-92.7273 0 -81.8182
-92.7273 0 -78.1818
-92.7273 0 -74.5455
-92.7273 0 -70.9091
-92.7273 0 -67.2727
-92.7273 0 -63.6364
-92.7273 0 -60
-92.7273 0 -56.3636
-92.7273 0 -52.7273
-92.7273 0 -49.0909
-92.7273 0 -45.4545
-92.7273 0 -41.8182
-92.7273 0 -38.1818
-92.7273 0 -34.5455
-92.7273 0 -30.9091
-92.7273 0 -27.2727
-92.7273 0 -23.6364
-92.7273 0 -20
-92.7273 0 -16.3636
-92.7273 0 -12.7273
-92.7273 0 -9.0909
-92.7273 0 -5.45454
-92.7273 0 -1.81818
-92.7273 0 1.81818
-92.7273 0 5.45455
-92.7273 0 9.09091
-92.7273 0 12.7273
-92.7273 0 16.3636
-92.7273 0 20
-92.7273 0 23.6364
-92.7273 0 27.2727
-92.7273 0 30.9091
-92.7273 0 34.5455
-92.7273 0 38.1818
-92.7273 0 41.8182
-92.7273 0 45.4545
-92.7273 0 49.0909
-92.7273 0 52.7273
-92.7273 0 56.3636
-92.7273 0 60
-92.7273 0 63.6364
-92.7273 0 67.2727
-92.7273 0 70.9091
-92.7273 0 74.5455
-92.7273 0 78.1818
-92.7273 0 81.8182
-92.7273 0 85.4545
-92.7273 0 89.0909
-92.7273 0 92.7273
-92.7273 0 96.3636
-89.0909 0 -100
-89.0909 0 -96.3636
-89.0909 0 -92.7273
-89.0909 0 -89.0909
-89.0909 0 -85.4545
-89.0909 0 -81.8182
-89.0909 0 -78.1818
-89.0909 0 -74.5455
-89.0909 0 -70.9091
